project_name,creators
INFINIT,"['C3', 'C12', 'C19', 'C20', 'C24', 'C26', 'C35', 'C42', 'C43', 'C49', 'C64', 'C66', 'C68', 'C70', 'C72', 'C77', 'C80', 'C81', 'C87', 'C113', 'C114', 'C115', 'C116', 'C127', 'C128', 'C137', 'C140', 'C145', 'C153', 'C155', 'C156', 'C160', 'C194', 'C199', 'C203', 'C204', 'C218', 'C242', 'C246', 'C247', 'C256', 'C258', 'C260', 'C261', 'C272', 'C347', 'C353', 'C357', 'C368', 'C379', 'C397', 'C398', 'C400', 'C401', 'C417', 'C419', 'C427', 'C428', 'C430', 'C433', 'C444', 'C458', 'C464', 'C468', 'C480', 'C506', 'C518', 'C521', 'C524', 'C532', 'C534', 'C549', 'C550', 'C551', 'C552', 'C553', 'C554', 'C555', 'C556']"
Injective,"['C4', 'C22', 'C24', 'C27', 'C33', 'C38', 'C44', 'C46', 'C70', 'C74', 'C77', 'C108', 'C138', 'C151', 'C154', 'C169', 'C176', 'C181', 'C182', 'C183', 'C184', 'C185', 'C186', 'C187', 'C188', 'C189', 'C190', 'C191', 'C192', 'C193', 'C194', 'C195', 'C196', 'C197', 'C198', 'C199', 'C200', 'C201', 'C202', 'C203', 'C204']"
Irys,"['C3', 'C4', 'C11', 'C12', 'C19', 'C24', 'C25', 'C26', 'C28', 'C34', 'C36', 'C45', 'C47', 'C48', 'C50', 'C51', 'C59', 'C65', 'C70', 'C77', 'C79', 'C81', 'C89', 'C97', 'C100', 'C107', 'C121', 'C126', 'C128', 'C136', 'C137', 'C139', 'C147', 'C150', 'C153', 'C156', 'C160', 'C163', 'C164', 'C191', 'C204', 'C205', 'C206', 'C207', 'C208', 'C209', 'C210', 'C211', 'C212', 'C213', 'C214', 'C215', 'C216', 'C217', 'C218', 'C219', 'C220', 'C221', 'C222', 'C223', 'C224', 'C225', 'C226', 'C227', 'C228', 'C229', 'C230', 'C231', 'C232', 'C233', 'C234', 'C235', 'C236', 'C237', 'C238', 'C239', 'C240']"
Mantle,"['C4', 'C15', 'C19', 'C26', 'C30', 'C39', 'C42', 'C70', 'C93', 'C94', 'C95', 'C108', 'C109', 'C113', 'C116', 'C126', 'C127', 'C128', 'C129', 'C139', 'C155', 'C160', 'C164', 'C168', 'C170', 'C187', 'C190', 'C194', 'C216', 'C223', 'C230', 'C265', 'C284', 'C287', 'C298', 'C348', 'C352', 'C353', 'C362', 'C364', 'C367', 'C368', 'C377', 'C393', 'C397', 'C401', 'C403', 'C404', 'C408', 'C425', 'C426', 'C427', 'C428', 'C429', 'C430', 'C431', 'C432', 'C433', 'C434', 'C435', 'C436', 'C437', 'C438', 'C439']"
Mavryk,"['C12', 'C18', 'C19', 'C24', 'C26', 'C53', 'C54', 'C56', 'C62', 'C68', 'C71', 'C72', 'C80', 'C82', 'C87', 'C91', 'C117', 'C118', 'C119', 'C125', 'C127', 'C128', 'C130', 'C132', 'C133', 'C136', 'C147', 'C150', 'C160', 'C180', 'C197', 'C201', 'C202', 'C205', 'C210', 'C221', 'C229', 'C231', 'C235', 'C241', 'C242', 'C243', 'C244', 'C245', 'C246', 'C247', 'C248', 'C249', 'C250', 'C251', 'C252', 'C253', 'C254', 'C255', 'C256', 'C257', 'C258', 'C259', 'C260', 'C261', 'C262', 'C263', 'C264', 'C265', 'C266', 'C267', 'C268', 'C269', 'C270', 'C271', 'C272', 'C273', 'C274', 'C275']"
MegaETH,"['C1', 'C16', 'C22', 'C24', 'C39', 'C42', 'C99', 'C102', 'C106', 'C136', 'C144', 'C147', 'C151', 'C153', 'C156', 'C166', 'C167', 'C169', 'C171', 'C172', 'C173', 'C174', 'C175', 'C180', 'C196', 'C208', 'C261', 'C298', 'C303', 'C305', 'C308', 'C310', 'C314', 'C315', 'C320', 'C321', 'C347', 'C355', 'C361', 'C393', 'C438', 'C440', 'C441', 'C442', 'C443', 'C444', 'C445', 'C446', 'C447']"
Mira Network,"['C3', 'C7', 'C11', 'C12', 'C14', 'C17', 'C18', 'C20', 'C24', 'C26', 'C31', 'C34', 'C40', 'C41', 'C43', 'C45', 'C46', 'C47', 'C49', 'C50', 'C51', 'C52', 'C59', 'C64', 'C69', 'C70', 'C71', 'C108', 'C115', 'C120', 'C123', 'C126', 'C128', 'C131', 'C134', 'C137', 'C139', 'C142', 'C145', 'C150', 'C153', 'C156', 'C159', 'C160', 'C181', 'C214', 'C216', 'C218', 'C219', 'C223', 'C227', 'C234', 'C240', 'C249', 'C276', 'C288', 'C289', 'C291', 'C296', 'C325', 'C347', 'C361', 'C365', 'C367', 'C368', 'C398', 'C418', 'C419', 'C432', 'C439', 'C469', 'C471', 'C472', 'C475', 'C480', 'C514', 'C515', 'C516', 'C517', 'C518', 'C519', 'C520', 'C521']"
Mitosis,"['C1', 'C4', 'C5', 'C11', 'C12', 'C24', 'C33', 'C37', 'C41', 'C49', 'C59', 'C70', 'C71', 'C77', 'C128', 'C136', 'C147', 'C150', 'C151', 'C156', 'C164', 'C202', 'C210', 'C227', 'C229', 'C250', 'C255', 'C261', 'C275', 'C276', 'C277', 'C278', 'C279', 'C280', 'C281', 'C282', 'C283', 'C284', 'C285', 'C286', 'C287', 'C288', 'C289', 'C290', 'C291', 'C292', 'C293', 'C294', 'C295', 'C296', 'C297', 'C298', 'C299', 'C300', 'C301', 'C302', 'C303', 'C304', 'C305']"
Momentum,"['C1', 'C2', 'C5', 'C6', 'C9', 'C12', 'C13', 'C17', 'C19', 'C23', 'C24', 'C25', 'C26', 'C28', 'C33', 'C41', 'C45', 'C47', 'C48', 'C50', 'C65', 'C69', 'C70', 'C89', 'C97', 'C100', 'C104', 'C108', 'C113', 'C120', 'C121', 'C124', 'C125', 'C126', 'C128', 'C131', 'C133', 'C136', 'C141', 'C144', 'C156', 'C160', 'C163', 'C211', 'C213', 'C221', 'C223', 'C224', 'C230', 'C234', 'C238', 'C239', 'C289', 'C296', 'C297', 'C299', 'C356', 'C369', 'C377', 'C379', 'C387', 'C396', 'C415', 'C426', 'C429', 'C447', 'C458', 'C462', 'C466', 'C473', 'C474', 'C476', 'C483', 'C487', 'C505', 'C520', 'C535', 'C562', 'C566', 'C580', 'C582', 'C583', 'C584']"
Monad,"['C1', 'C36', 'C37', 'C39', 'C48', 'C104', 'C109', 'C110', 'C126', 'C144', 'C151', 'C156', 'C157', 'C169', 'C171', 'C209', 'C277', 'C279', 'C289', 'C298', 'C299', 'C303', 'C305', 'C306', 'C307', 'C308', 'C309', 'C310', 'C311', 'C312', 'C313', 'C314', 'C315', 'C316', 'C317', 'C318', 'C319', 'C320', 'C321', 'C322']"
