Category,project_name,Rank,Name,Handle,Creator_ID,Mindshare_%,Smart_Followers,Followers,Casual_%,Hardcore_%,Shitposter_%,Curator_%,CopyPasta_%,Creative_%,creator_code
L0/L1,Aptos,72,sparkⓂ️Ⓜ️T,@0x_xifeng,0x_xifeng,0.29,360,25525,38.0,62.0,41.0,59.0,62.0,38.0,C4
L0/L1,Aptos,23,0xAllen,@0xAllen888,0xallen888,0.49,165,37725,17.0,83.0,34.0,66.0,65.0,35.0,C7
L0/L1,Aptos,85,0xdahua｜大华 🎮Ⓜ️Ⓜ️T,@0xdahua,0xdahua,0.26,203,33905,55.0,45.0,33.0,67.0,71.0,29.0,C21
L0/L1,Aptos,42,币世王,@0xKingsKuan,0xkingskuan,0.39,285,60971,20.0,80.0,26.0,74.0,71.0,29.0,C32
L0/L1,Aptos,29,Nathan,@0xxNathan,0xxnathan,0.44,372,24786,29.0,71.0,37.0,63.0,71.0,29.0,C44
L0/L1,Aptos,67,0xzhaozhao $M | 🐜 Ⓜ️Ⓜ️T,@0xzhaozhao,0xzhaozhao,0.32,275,67998,32.0,68.0,47.0,53.0,51.0,49.0,C45
L0/L1,Aptos,37,小胖.eth,@10000BRC,10000brc,0.4,442,76385,41.0,59.0,22.0,78.0,65.0,35.0,C46
L0/L1,Aptos,95,A1 Research,@a1research__,a1research__,0.25,528,9466,65.0,35.0,26.0,74.0,72.0,28.0,C58
L0/L1,Aptos,12,anymose 💢 🐦‍⬛,@anymose96,anymose96,0.63,543,26339,27.0,73.0,36.0,64.0,59.0,41.0,C75
L0/L1,Aptos,70,Armani Ferrante,@armaniferrante,armaniferrante,0.3,3169,150143,73.0,27.0,58.0,42.0,55.0,45.0,C78
L0/L1,Aptos,19,百里Ⓜ️Ⓜ️T,@Baili1018,baili1018,0.53,159,89346,55.0,45.0,23.0,77.0,72.0,28.0,C92
L0/L1,Aptos,87,쥔장 Ⓜ️Ⓜ️T,@beingRich2000,beingrich2000,0.26,198,12517,47.0,53.0,46.0,54.0,45.0,55.0,C101
L0/L1,Aptos,82,BitHappy Ⓜ️Ⓜ️T,@BitHappyX,bithappyx,0.27,247,24171,28.0,72.0,41.0,59.0,59.0,41.0,C107
L0/L1,Aptos,35,Blackbeard,@blackbeardXBT,blackbeardxbt,0.41,890,130738,47.0,53.0,35.0,65.0,70.0,30.0,C110
L0/L1,Aptos,7,Ⓜ️Ⓜ️TVBee,@blockTVBee,blocktvbee,0.71,253,26005,33.0,67.0,43.0,57.0,56.0,44.0,C113
L0/L1,Aptos,18,chainyoda,@chainyoda,chainyoda,0.54,2737,40493,41.0,59.0,55.0,45.0,52.0,48.0,C131
L0/L1,Aptos,20,作业借你抄Ⓜ️Ⓜ️T,@chaozuoye,chaozuoye,0.52,169,52803,38.0,62.0,33.0,67.0,65.0,35.0,C134
L0/L1,Aptos,44,Charles💤🎶,@charles48011843,charles48011843,0.38,311,133856,28.0,72.0,21.0,79.0,71.0,29.0,C135
L0/L1,Aptos,73,코루🍊 Ⓜ️Ⓜ️T,@colu_farmer,colu_farmer,0.29,298,34939,24.0,76.0,44.0,56.0,56.0,44.0,C146
L0/L1,Aptos,30,大西瓜 Ⓜ️Ⓜ️T,@DAXIAGUA1,daxiagua1,0.44,318,89301,50.0,50.0,17.0,83.0,72.0,28.0,C179
L0/L1,Aptos,43,DeFi Decoder,@DeFiDecoder_,defidecoder_,0.38,91,19608,38.0,62.0,50.0,50.0,67.0,33.0,C188
L0/L1,Aptos,32,EricF,@EricCLFung,ericclfung,0.43,1000,19629,26.0,74.0,45.0,55.0,64.0,36.0,C216
L0/L1,Aptos,54,迪尔Dir.Ⓜ️Ⓜ️T,@gn_zebraleyuan,gn_zebraleyuan,0.35,149,58273,43.0,57.0,30.0,70.0,69.0,31.0,C241
L0/L1,Aptos,13,greb,@grebbycrypto,grebbycrypto,0.63,238,41517,45.0,55.0,42.0,58.0,53.0,47.0,C249
L0/L1,Aptos,5,Akiii 💜Monad | Ⓜ️Ⓜ️T,@Guomin184935,guomin184935,0.74,163,16355,25.0,75.0,39.0,61.0,62.0,38.0,C254
L0/L1,Aptos,24,币圈荒木 Ⓜ️Ⓜ️T,@HM010169,hm010169,0.49,328,129507,44.0,56.0,26.0,74.0,70.0,30.0,C271
L0/L1,Aptos,62,Lennaert Snyder,@LennaertSnyder,lennaertsnyder,0.33,318,35925,38.0,62.0,53.0,47.0,75.0,25.0,C335
L0/L1,Aptos,94,medo Ⓜ️Ⓜ️T,@medo_NFP,medo_nfp,0.25,259,13241,10.0,90.0,39.0,61.0,54.0,46.0,C361
L0/L1,Aptos,56,Meta 猿 🦍,@Metabape,metabape,0.35,627,22956,65.0,35.0,21.0,79.0,64.0,36.0,C364
L0/L1,Aptos,83,Miles Deutscher,@milesdeutscher,milesdeutscher,0.27,3538,637892,0.0,0.0,0.0,0.0,0.0,0.0,C369
L0/L1,Aptos,28,加密小师妹|Monica Ⓜ️Ⓜ️T,@Monica_xiaoM,monica_xiaom,0.44,322,143868,47.0,53.0,39.0,61.0,66.0,34.0,C374
L0/L1,Aptos,26,MoonKing,@MoonKing___,moonking___,0.46,310,49547,44.0,56.0,50.0,50.0,69.0,31.0,C380
L0/L1,Aptos,71,安兹大人 Ⓜ️Ⓜ️T,@Nazarick_eth,nazarick_eth,0.3,136,43885,60.0,40.0,30.0,70.0,63.0,37.0,C391
L0/L1,Aptos,6,Snowball（抓住金狗版）🔶 BNBⓂ️Ⓜ️T,@one_snowball,one_snowball,0.74,324,71025,50.0,50.0,36.0,64.0,64.0,36.0,C406
L0/L1,Aptos,93,zin Ⓜ️Ⓜ️T,@periagoge1,periagoge1,0.25,180,4685,27.0,73.0,40.0,60.0,51.0,49.0,C413
L0/L1,Aptos,11,Pukerainbow 🤮🌈,@pukerrainbrow,pukerrainbrow,0.64,1046,78391,23.0,77.0,54.0,46.0,70.0,30.0,C421
L0/L1,Aptos,15,R2D2,@R2D2zen,r2d2zen,0.61,249,12443,10.0,90.0,45.0,55.0,62.0,38.0,C424
L0/L1,Aptos,74,Clever💫✨️🌐Ⓜ️Ⓜ️T,@rapperr111,rapperr111,0.29,205,15320,25.0,75.0,36.0,64.0,57.0,43.0,C432
L0/L1,Aptos,55,Route 2 FI,@Route2FI,route2fi,0.35,3266,306673,65.0,35.0,21.0,79.0,72.0,28.0,C448
L0/L1,Aptos,98,帅帅 Ⓜ️Ⓜ️T,@ssovoovo,ssovoovo,0.24,387,33175,52.0,48.0,24.0,76.0,84.0,16.0,C493
L0/L1,Aptos,78,0xTenson 美羊羊桑 Ⓜ️Ⓜ️T,@Ten1sion,ten1sion,0.28,240,55283,49.0,51.0,26.0,74.0,69.0,31.0,C512
L0/L1,Aptos,10,The Learning Pill 💊,@thelearningpill,thelearningpill,0.66,374,23547,16.0,84.0,43.0,57.0,63.0,37.0,C521
L0/L1,Aptos,33,寻一方净土Ⓜ️Ⓜ️T,@TUGE8888,tuge8888,0.42,364,19189,55.0,45.0,30.0,70.0,70.0,30.0,C530
L0/L1,Aptos,92,VirtualBacon,@VirtualBacon0x,virtualbacon0x,0.26,1300,229174,62.0,38.0,36.0,64.0,70.0,30.0,C535
L0/L1,Aptos,97,Vvicky绵绵 Ⓜ️Ⓜ️T,@vvickym2,vvickym2,0.24,338,82453,49.0,51.0,33.0,67.0,70.0,30.0,C536
L0/L1,Aptos,63,日拱一卒王小楼💢Ⓜ️Ⓜ️T,@wang_xiaolou,wang_xiaolou,0.33,330,26747,33.0,67.0,24.0,76.0,73.0,27.0,C540
L0/L1,Aptos,8,Niels,@Web3Niels,web3niels,0.69,382,54874,53.0,47.0,32.0,68.0,73.0,27.0,C544
L0/L1,Aptos,9,雪糕战神🍦Ⓜ️Ⓜ️T,@Xuegaogx,xuegaogx,0.67,140,32497,45.0,55.0,19.0,81.0,70.0,30.0,C565
L0/L1,Aptos,99,追风Lab .eth🌿,@ZF_lab,zf_lab,0.24,358,104655,45.0,55.0,40.0,60.0,67.0,33.0,C581
L0/L1,Aptos,31,佐哥 ZOHAN 🦅 | Ⓜ️Ⓜ️T,@zohanlin,zohanlin,0.43,578,10184,65.0,35.0,10.0,90.0,74.0,26.0,C587
L0/L1,Beldex,62,ALTF4,@0xALTF4,0xaltf4,0.27,537,74442,18.0,82.0,36.0,64.0,73.0,27.0,C8
L0/L1,Beldex,47,币世王,@0xKingsKuan,0xkingskuan,0.35,285,60972,34.0,66.0,21.0,79.0,76.0,24.0,C32
L0/L1,Beldex,92,云淡风轻Ⓜ️Ⓜ️T,@2298,2298,0.2,290,45932,47.0,53.0,17.0,83.0,75.0,25.0,C48
L0/L1,Beldex,7,TraviSKrypto🥷🐝,@__traviSKrypto,__traviskrypto,0.92,28,2360,3.0,97.0,62.0,38.0,72.0,28.0,C54
L0/L1,Beldex,21,Hearty | Someone You Love,@apostlehearty,apostlehearty,0.55,9,4028,12.0,88.0,54.0,46.0,69.0,31.0,C76
L0/L1,Beldex,91,terry jang • ᴗ • Ⓜ️Ⓜ️T,@ausbro80,ausbro80,0.2,280,12637,19.0,81.0,49.0,51.0,60.0,40.0,C82
L0/L1,Beldex,3,쥔장 Ⓜ️Ⓜ️T,@beingRich2000,beingrich2000,1.18,198,12517,15.0,85.0,71.0,29.0,48.0,52.0,C101
L0/L1,Beldex,56,Captain Kent | 船长 🪶,@captain_kent,captain_kent,0.29,87,7877,29.0,71.0,47.0,53.0,62.0,38.0,C127
L0/L1,Beldex,80,Charles💤🎶,@charles48011843,charles48011843,0.22,311,133857,26.0,74.0,11.0,89.0,77.0,23.0,C135
L0/L1,Beldex,49,한별이 Ⓜ️Ⓜ️T,@CHUNWON1155,chunwon1155,0.34,57,2621,37.0,63.0,55.0,45.0,74.0,26.0,C140
L0/L1,Beldex,99,우파루파 UPALUPA MOM Ⓜ️Ⓜ️T,@crypto_upalupa,crypto_upalupa,0.19,75,2372,37.0,63.0,40.0,60.0,63.0,37.0,C157
L0/L1,Beldex,36,Usopp,@CryptoUsopp,cryptousopp,0.4,323,42526,47.0,53.0,65.0,35.0,56.0,44.0,C170
L0/L1,Beldex,81,DeFi Decoder,@DeFiDecoder_,defidecoder_,0.22,91,19608,27.0,73.0,48.0,52.0,73.0,27.0,C188
L0/L1,Beldex,50,DeFi Oracle 🔮,@DeFiOracle_,defioracle_,0.33,148,24016,32.0,68.0,43.0,57.0,72.0,28.0,C191
L0/L1,Beldex,19,doonbo_Illustrator✍️,@Doonbo_artist,doonbo_artist,0.6,121,7250,24.0,76.0,56.0,44.0,51.0,49.0,C203
L0/L1,Beldex,28,CryptoDoc,@ElCryptoDoc,elcryptodoc,0.46,128,51927,29.0,71.0,65.0,35.0,75.0,25.0,C211
L0/L1,Beldex,77,Enok,@Enok0305,enok0305,0.22,35,1666,37.0,63.0,58.0,42.0,44.0,56.0,C215
L0/L1,Beldex,37,evgen,@evgen_by,evgen_by,0.4,256,8869,29.0,71.0,71.0,29.0,77.0,23.0,C220
L0/L1,Beldex,41,레오.Master Ⓜ️Ⓜ️T,@ezeroho8245,ezeroho8245,0.37,124,11159,24.0,76.0,71.0,29.0,55.0,45.0,C221
L0/L1,Beldex,67,Froggy 🐸,@GemBooster,gembooster,0.26,615,55727,37.0,63.0,40.0,60.0,71.0,29.0,C235
L0/L1,Beldex,46,"gome Ⓜ️Ⓜ️T (❖,❖)",@hangome_sol,hangome_sol,0.35,161,4116,29.0,71.0,66.0,34.0,70.0,30.0,C259
L0/L1,Beldex,16,hannax.base.eth,@hannaXbtc,hannaxbtc,0.62,294,72898,22.0,78.0,65.0,35.0,82.0,18.0,C261
L0/L1,Beldex,29,HenriⓂ️Ⓜ️T,@HenriLee92,henrilee92,0.46,134,6293,26.0,74.0,49.0,51.0,49.0,51.0,C267
L0/L1,Beldex,35,币圈荒木 Ⓜ️Ⓜ️T,@HM010169,hm010169,0.41,328,129507,37.0,63.0,33.0,67.0,76.0,24.0,C271
L0/L1,Beldex,12,jayplaycoⓂ️Ⓜ️T,@jayplayco,jayplayco,0.69,272,9215,26.0,74.0,28.0,72.0,60.0,40.0,C298
L0/L1,Beldex,30,Javi🥥.eth,@jgonzalezferrer,jgonzalezferrer,0.45,558,58760,29.0,71.0,88.0,12.0,59.0,41.0,C303
L0/L1,Beldex,26,Lexi Bitcoin 🐱,@Lexibtceth,lexibtceth,0.49,444,80586,22.0,78.0,54.0,46.0,76.0,24.0,C337
L0/L1,Beldex,18,Lilly 🎮,@LillyCreator,lillycreator,0.61,75,29610,29.0,71.0,44.0,56.0,69.0,31.0,C341
L0/L1,Beldex,10,Marcus 🧪,@marcuslayerx,marcuslayerx,0.8,220,7612,14.0,86.0,62.0,38.0,70.0,30.0,C356
L0/L1,Beldex,65,MellowXBT,@marshmellowxbt,marshmellowxbt,0.26,127,7374,21.0,79.0,70.0,30.0,60.0,40.0,C357
L0/L1,Beldex,53,JimmySmalls.eth,@MrPraetorian,mrpraetorian,0.31,61,12764,29.0,71.0,65.0,35.0,65.0,35.0,C383
L0/L1,Beldex,64,"아이반(❖,❖)Ⓜ️Ⓜ️T",@museowunsaram,museowunsaram,0.26,161,7748,34.0,66.0,55.0,45.0,60.0,40.0,C386
L0/L1,Beldex,6,Nora 🇵🇹,@NoraXBT,noraxbt,0.93,47,73850,26.0,74.0,46.0,54.0,74.0,26.0,C404
L0/L1,Beldex,40,zin Ⓜ️Ⓜ️T,@periagoge1,periagoge1,0.38,180,4685,34.0,66.0,58.0,42.0,58.0,42.0,C413
L0/L1,Beldex,88,람쥐썬더 Ramz MOM Ⓜ️Ⓜ️T,@ramztd,ramztd,0.2,103,2837,15.0,85.0,66.0,34.0,61.0,39.0,C430
L0/L1,Beldex,42,RIDDLΞR,@RiddlerNFT,riddlernft,0.37,887,34757,43.0,57.0,87.0,13.0,68.0,32.0,C444
L0/L1,Beldex,60,riotboy⚡️ Ⓜ️Ⓜ️T,@riotboy2024,riotboy2024,0.28,115,6646,40.0,60.0,68.0,32.0,68.0,32.0,C445
L0/L1,Beldex,63,$a₼₼¥,@SammyMzy,sammymzy,0.27,50,15121,34.0,66.0,32.0,68.0,81.0,19.0,C458
L0/L1,Beldex,94,ryokoⓂ️Ⓜ️T,@semiko8585,semiko8585,0.19,85,3088,37.0,63.0,63.0,37.0,57.0,43.0,C469
L0/L1,Beldex,82,Shuarix™,@Shuarix,shuarix,0.22,127,42232,40.0,60.0,30.0,70.0,72.0,28.0,C479
L0/L1,Beldex,54,Sseonu🔫.m🐜,@sseonu4,sseonu4,0.31,52,2520,22.0,78.0,65.0,35.0,60.0,40.0,C492
L0/L1,Beldex,31,,@talus_labs,talus_labs,0.45,53,2408,24.0,76.0,66.0,34.0,52.0,48.0,C505
L0/L1,Beldex,57,0xTenson 美羊羊桑 Ⓜ️Ⓜ️T,@Ten1sion,ten1sion,0.29,240,55281,27.0,73.0,67.0,33.0,80.0,20.0,C512
L0/L1,Beldex,38,Crypto Blade,@TheCryptoBlade,thecryptoblade,0.39,307,62384,22.0,78.0,58.0,42.0,77.0,23.0,C515
L0/L1,Beldex,33,Tiko,@tikooww,tikooww,0.43,188,42038,32.0,68.0,49.0,51.0,77.0,23.0,C523
L0/L1,Beldex,73,UCHAL 우찰 Ⓜ️Ⓜ️T,@tm_uchal,tm_uchal,0.24,140,5270,34.0,66.0,26.0,74.0,65.0,35.0,C526
L0/L1,Beldex,13,Tom 😾,@TomWeb33,tomweb33,0.69,137,57423,34.0,66.0,45.0,55.0,73.0,27.0,C528
L0/L1,Beldex,66,寻一方净土Ⓜ️Ⓜ️T,@TUGE8888,tuge8888,0.26,364,19189,62.0,38.0,17.0,83.0,76.0,24.0,C530
L0/L1,Beldex,90,ZaYan,@ZayanXBT,zayanxbt,0.2,128,40554,24.0,76.0,28.0,72.0,75.0,25.0,C578
L0/L1,Berachain,99,0xfarmed,@0xfarmed,0xfarmed,0.1,73,1863,39.0,61.0,39.0,61.0,68.0,32.0,C24
L0/L1,Berachain,42,币世王,@0xKingsKuan,0xkingskuan,0.26,285,60971,67.0,33.0,42.0,58.0,64.0,36.0,C32
L0/L1,Berachain,58,雨中狂睡SleepintheRain,@0xSleepinRain,0xsleepinrain,0.16,510,27325,53.0,47.0,20.0,80.0,58.0,42.0,C40
L0/L1,Berachain,48,0xzhaozhao $M | 🐜 Ⓜ️Ⓜ️T,@0xzhaozhao,0xzhaozhao,0.24,275,67998,0.0,0.0,0.0,0.0,0.0,0.0,C45
L0/L1,Berachain,68,Altcoin Sherpa,@AltcoinSherpa,altcoinsherpa,0.17,1670,257059,64.0,36.0,58.0,42.0,49.0,51.0,C68
L0/L1,Berachain,87,百里Ⓜ️Ⓜ️T,@Baili1018,baili1018,0.13,159,89346,64.0,36.0,38.0,62.0,85.0,15.0,C92
L0/L1,Berachain,63,쥔장 Ⓜ️Ⓜ️T,@beingRich2000,beingrich2000,0.19,198,12519,50.0,50.0,32.0,68.0,53.0,47.0,C101
L0/L1,Berachain,55,BitHappy Ⓜ️Ⓜ️T,@BitHappyX,bithappyx,0.21,247,24171,32.0,68.0,31.0,69.0,53.0,47.0,C107
L0/L1,Berachain,84,BQ비큐🐣 NY✈️,@BQYouTube,bqyoutube,0.13,310,21163,50.0,50.0,43.0,57.0,43.0,57.0,C118
L0/L1,Berachain,41,Bug🦶,@bug4what,bug4what,0.21,303,11561,35.0,65.0,48.0,52.0,34.0,66.0,C123
L0/L1,Berachain,67,chainyoda,@chainyoda,chainyoda,0.18,2737,40493,0.0,0.0,0.0,0.0,0.0,0.0,C131
L0/L1,Berachain,65,Coblin(코블린) Ⓜ️Ⓜ️T,@co_cobling,co_cobling,0.14,163,5804,55.0,45.0,46.0,54.0,29.0,71.0,C143
L0/L1,Berachain,51,CupoJOSΞPH 🐌,@CupOJoseph,cupojoseph,0.23,972,9926,0.0,0.0,0.0,0.0,0.0,0.0,C173
L0/L1,Berachain,40,DarylTanky,@DRTnky,drtnky,0.21,177,7686,28.0,72.0,46.0,54.0,46.0,54.0,C205
L0/L1,Berachain,89,Eva 树姐👧🏻 Ⓜ️Ⓜ️T,@EvaCmore,evacmore,0.13,264,59148,0.0,0.0,0.0,0.0,0.0,0.0,C219
L0/L1,Berachain,66,小捕手 Chaos,@iamyourchaos,iamyourchaos,0.18,481,87846,55.0,45.0,23.0,77.0,55.0,45.0,C285
L0/L1,Berachain,28,ika,@ika_xbt,ika_xbt,0.4,442,10969,9.0,91.0,48.0,52.0,43.0,57.0,C288
L0/L1,Berachain,91,JPEG Yakuza,@JPEG_Yakuza_,jpeg_yakuza_,0.1,473,13372,51.0,49.0,55.0,45.0,41.0,59.0,C312
L0/L1,Berachain,83,Koob (T) 쿠쿠쿱 (T)Ⓜ️Ⓜ️ T,@kimyg002,kimyg002,0.13,339,16498,72.0,28.0,47.0,53.0,55.0,45.0,C323
L0/L1,Berachain,90,Funke 🧸,@lifeisyolo__,lifeisyolo__,0.1,44,3676,42.0,58.0,54.0,46.0,50.0,50.0,C340
L0/L1,Berachain,22,"아이반(❖,❖)Ⓜ️Ⓜ️T",@museowunsaram,museowunsaram,0.54,161,7748,48.0,52.0,31.0,69.0,39.0,61.0,C386
L0/L1,Berachain,13,nics,@nics_off,nics_off,0.99,757,19862,10.0,90.0,46.0,54.0,44.0,56.0,C398
L0/L1,Berachain,54,pgⓂ️Ⓜ️T,@pgreyy,pgreyy,0.21,204,8065,32.0,68.0,41.0,59.0,48.0,52.0,C414
L0/L1,Berachain,75,Rejamong.eth Ⓜ️Ⓜ️T,@r2Jamong,r2jamong,0.15,308,12908,72.0,28.0,53.0,47.0,48.0,52.0,C425
L0/L1,Berachain,47,Tobias Reisner,@reisnertobias,reisnertobias,0.25,570,15575,48.0,52.0,50.0,50.0,59.0,41.0,C439
L0/L1,Berachain,17,jawz,@sayinshallah,sayinshallah,0.71,1618,47575,0.0,0.0,0.0,0.0,0.0,0.0,C463
L0/L1,Berachain,19,VIKTOR,@thedefivillain,thedefivillain,0.56,1369,58825,67.0,33.0,58.0,42.0,55.0,45.0,C519
L0/L1,Berachain,93,在金🦇,@zaijin338191,zaijin338191,0.09,42,20893,42.0,58.0,50.0,50.0,48.0,52.0,C576
L0/L1,Berachain,94,追风Lab .eth🌿,@ZF_lab,zf_lab,0.11,358,104655,55.0,45.0,38.0,62.0,59.0,41.0,C581
L0/L1,Camp Network,22,sparkⓂ️Ⓜ️T,@0x_xifeng,0x_xifeng,0.49,360,25525,31.0,69.0,57.0,43.0,49.0,51.0,C4
L0/L1,Camp Network,46,0xAllen,@0xAllen888,0xallen888,0.32,165,37724,9.0,91.0,46.0,54.0,58.0,42.0,C7
L0/L1,Camp Network,16,andrew.moh,@0xAndrewMoh,0xandrewmoh,0.53,652,54114,13.0,87.0,51.0,49.0,60.0,40.0,C10
L0/L1,Camp Network,88,Gilmo,@0xgilllee,0xgilllee,0.16,39,13222,31.0,69.0,51.0,49.0,60.0,40.0,C28
L0/L1,Camp Network,93,"0xkevin (🖤 , 💙)| Ⓜ️Ⓜ️T",@0xKevin00,0xkevin00,0.15,330,56103,39.0,61.0,30.0,70.0,64.0,36.0,C31
L0/L1,Camp Network,45,小胖.eth,@10000BRC,10000brc,0.32,442,76385,25.0,75.0,30.0,70.0,67.0,33.0,C46
L0/L1,Camp Network,66,2Lambroz 🐑 (🧑‍🍳🥩🤌),@2lambro,2lambro,0.22,1209,32067,57.0,43.0,49.0,51.0,62.0,38.0,C51
L0/L1,Camp Network,78,anymose 💢 🐦‍⬛,@anymose96,anymose96,0.19,543,26337,43.0,57.0,58.0,42.0,46.0,54.0,C75
L0/L1,Camp Network,21,Avalanche 🗻,@Avalanche_XV,avalanche_xv,0.5,335,25461,31.0,69.0,51.0,49.0,63.0,37.0,C85
L0/L1,Camp Network,69,banditxbt,@banditxbt,banditxbt,0.21,1385,40464,43.0,57.0,68.0,32.0,52.0,48.0,C94
L0/L1,Camp Network,83,Bitman Ⓜ️Ⓜ️T,@BitmanTW,bitmantw,0.17,798,44882,34.0,66.0,60.0,40.0,70.0,30.0,C109
L0/L1,Camp Network,37,Ⓜ️Ⓜ️TVBee,@blockTVBee,blocktvbee,0.37,253,26005,38.0,62.0,43.0,57.0,51.0,49.0,C113
L0/L1,Camp Network,62,土澳大狮兄BroLeon | 🔶BNB | Ⓜ️Ⓜ️T,@BroLeonAus,broleonaus,0.23,805,115809,53.0,47.0,33.0,67.0,55.0,45.0,C120
L0/L1,Camp Network,7,BuTongRen Ⓜ️Ⓜ️T,@BuTongRen6,butongren6,0.73,127,9815,20.0,80.0,42.0,58.0,61.0,39.0,C125
L0/L1,Camp Network,63,Charles💤🎶,@charles48011843,charles48011843,0.23,311,133856,47.0,53.0,42.0,58.0,61.0,39.0,C135
L0/L1,Camp Network,95,小汉堡🔶 BNB,@CheesyBun0211,cheesybun0211,0.13,50,42034,24.0,76.0,36.0,64.0,69.0,31.0,C136
L0/L1,Camp Network,56,Usopp,@CryptoUsopp,cryptousopp,0.25,323,42520,49.0,51.0,55.0,45.0,67.0,33.0,C170
L0/L1,Camp Network,31,大西瓜 Ⓜ️Ⓜ️T,@DAXIAGUA1,daxiagua1,0.4,318,89301,33.0,67.0,33.0,67.0,72.0,28.0,C179
L0/L1,Camp Network,86,DEFI Kadic,@defikadic,defikadic,0.16,25,11097,25.0,75.0,50.0,50.0,60.0,40.0,C189
L0/L1,Camp Network,12,Domen T.,@DomOnChain,domonchain,0.61,115,48313,9.0,91.0,69.0,31.0,64.0,36.0,C200
L0/L1,Camp Network,20,Vitalik Einstein,@DrEinstein9999,dreinstein9999,0.5,240,27849,26.0,74.0,62.0,38.0,58.0,42.0,C204
L0/L1,Camp Network,6,💜 Wecryptotogether Ⓜ️Ⓜ️T ✳️,@Edward__Park,edward__park,0.74,747,39046,57.0,43.0,69.0,31.0,45.0,55.0,C207
L0/L1,Camp Network,84,Eli5DeFi,@eli5_defi,eli5_defi,0.17,970,41548,27.0,73.0,44.0,56.0,65.0,35.0,C213
L0/L1,Camp Network,96,Gomtu Ⓜ️Ⓜ️T,@gomtu_xyz,gomtu_xyz,0.13,256,14456,53.0,47.0,63.0,37.0,58.0,42.0,C244
L0/L1,Camp Network,19,greb,@grebbycrypto,grebbycrypto,0.52,238,41517,11.0,89.0,52.0,48.0,55.0,45.0,C249
L0/L1,Camp Network,38,Akiii 💜Monad | Ⓜ️Ⓜ️T,@Guomin184935,guomin184935,0.36,163,16355,19.0,81.0,59.0,41.0,58.0,42.0,C254
L0/L1,Camp Network,2,Justin Wu,@hackapreneur,hackapreneur,0.89,1663,280111,28.0,72.0,37.0,63.0,73.0,27.0,C258
L0/L1,Camp Network,1,HenriⓂ️Ⓜ️T,@HenriLee92,henrilee92,0.93,134,6293,31.0,69.0,48.0,52.0,52.0,48.0,C267
L0/L1,Camp Network,61,币圈荒木 Ⓜ️Ⓜ️T,@HM010169,hm010169,0.23,328,129507,39.0,61.0,23.0,77.0,69.0,31.0,C271
L0/L1,Camp Network,47,Aqsa,@IamAqsaShaikh,iamaqsashaikh,0.32,219,14114,16.0,84.0,60.0,40.0,52.0,48.0,C284
L0/L1,Camp Network,100,∑: MAGIC 🕯️Ⓜ️Ⓜ️T,@IPALAU1,ipalau1,0.12,209,7327,57.0,43.0,35.0,65.0,64.0,36.0,C292
L0/L1,Camp Network,82,itskkoma,@itskkoma,itskkoma,0.18,308,9423,42.0,58.0,48.0,52.0,54.0,46.0,C293
L0/L1,Camp Network,11,Jampzey.hl,@Jampzey,jampzey,0.64,2023,114418,31.0,69.0,61.0,39.0,58.0,42.0,C296
L0/L1,Camp Network,55,EWLⓂ️Ⓜ️T,@jeg6322,jeg6322,0.26,300,10329,55.0,45.0,42.0,58.0,63.0,37.0,C302
L0/L1,Camp Network,81,Javi🥥.eth,@jgonzalezferrer,jgonzalezferrer,0.18,558,58759,32.0,68.0,79.0,21.0,62.0,38.0,C303
L0/L1,Camp Network,91,Yoony12 Ⓜ️Ⓜ️T,@jonBeoGazua,jonbeogazua,0.15,82,3610,55.0,45.0,68.0,32.0,36.0,64.0,C309
L0/L1,Camp Network,43,katexbt.hl,@katexbt,katexbt,0.33,1103,23585,24.0,76.0,53.0,47.0,49.0,51.0,C317
L0/L1,Camp Network,15,Funke 🧸,@lifeisyolo__,lifeisyolo__,0.53,44,3676,8.0,92.0,48.0,52.0,58.0,42.0,C340
L0/L1,Camp Network,59,babyⓂ️Ⓜ️T,@liuxiaoling933,liuxiaoling933,0.24,244,109400,37.0,63.0,37.0,63.0,67.0,33.0,C345
L0/L1,Camp Network,14,Marcus 🧪,@marcuslayerx,marcuslayerx,0.57,220,7612,21.0,79.0,40.0,60.0,66.0,34.0,C356
L0/L1,Camp Network,94,Marvellous | DeFi🕊️🌿,@marvellousdefi_,marvellousdefi_,0.13,179,11119,47.0,53.0,26.0,74.0,68.0,32.0,C359
L0/L1,Camp Network,9,Meta,@metaio102,metaio102,0.7,283,66463,24.0,76.0,11.0,89.0,72.0,28.0,C365
L0/L1,Camp Network,34,Premature-Accumulator-Neill,@MetaverseRanger,metaverseranger,0.39,285,12274,18.0,82.0,49.0,51.0,65.0,35.0,C366
L0/L1,Camp Network,8,Mike S,@Mikesi30,mikesi30,0.71,591,32522,35.0,65.0,42.0,58.0,66.0,34.0,C368
L0/L1,Camp Network,75,MOMO默默,@momochenming,momochenming,0.19,458,125548,46.0,54.0,43.0,57.0,68.0,32.0,C373
L0/L1,Camp Network,92,Mookie,@MookieNFT,mookienft,0.15,1452,149449,43.0,57.0,49.0,51.0,68.0,32.0,C378
L0/L1,Camp Network,3,MoonKing,@MoonKing___,moonking___,0.79,310,49547,7.0,93.0,41.0,59.0,67.0,33.0,C380
