username,attention_score
0x_xifeng,3789.564622967542
0xAllen888,1492.95794443097
0xandrewxyz,77.30781270579668
0xAzin,142.46404902951102
0xdahua,1009.5408265537116
0xdenys_,69.79548382346599
0xham3d_eth,168.40447276240064
0xKingsKuan,959.1242878087012
0xobsessed,708.0231776893551
0xxNathan,2222.2538507820823
0xzhaozhao,1902.2422013192388
10000BRC,657.2916593263772
_sonji,647.4240522958227
a1research__,1899.8402810284292
AirBeeHoliday,12.215658306136902
angelataptos,140.82767223541487
anymose96,4723.841256107535
APTopia_xyz,175.25065902291155
aptos_ape,236.62116778572
armaniferrante,5418.992097987679
AveryChing,2061.5700159051166
Baili1018,897.558713559633
beingRich2000,1077.8922527042444
blackbeardXBT,933.2198067477624
blockTVBee,3474.1234529343724
BuzzlamicJihad,1460.763424919035
chainyoda,15620.741647354853
chaozuoye,995.7852064037436
charles48011843,1984.1614664987003
chimex_apt,33.53767617908135
colu_farmer,1063.970866665168
DAXIAGUA1,1176.7549326175051
DeFiDecoder_,424.58605288273645
Deguywithstyle,105.02068875095894
EricCLFung,985.024092464401
Fiona_apt,64.31770532012786
Ghosterx4x,72.79519738286875
gn_zebraleyuan,583.7101871468559
grebbycrypto,1951.0745987004009
Greg_Nazario,245.1774246582716
Guomin184935,1514.711378026048
HM010169,1013.8877752254746
im_rajaali,93.9619120763048
ivan65471037,26.05850435992824
kantianum,597.6280718398914
KuiGas,2817.592740646217
LennaertSnyder,1109.7186996031212
lil_psalmy,48.305695717442056
llcool_hay,48.65243965093473
MARKA_VELII,71.59922516238467
medo_NFP,328.05927524773483
Metabape,1748.5100983723803
MichaelPinto_,249.363944836942
milesdeutscher,6569.476065569754
Monica_xiaoM,1077.4379364174524
MoonKing___,1417.979680543168
NareshKx,132.14590726624797
Nazarick_eth,998.80758254566
NickGCat,229.27010373018032
obsrvgmi,685.69267679923
one_snowball,2403.85666073754
periagoge1,531.05557521983
pukerrainbrow,1521.2237223575594
R2D2zen,1775.993609925921
rapperr111,360.825541848763
Route2FI,12121.183946478615
sneha_bb,138.2305407644672
ssovoovo,718.3839301640971
standotsui,358.6779491452418
Ten1sion,610.6281899746682
thecaptaingates,212.4803270017002
TheCryptoLark,3339.025925820799
thelearningpill,2604.503992826173
TheopilusE,43.48300624950237
thisttv,45.08277012455369
Tinyjamj,33.97152021208971
TUGE8888,1220.2496077452067
tyler_of_web3,55.14449737612593
UkashatBalaCCII,37.76582447320337
vvickym2,2755.20216046539
wang_xiaolou,2851.405094815127
Web3Niels,1290.060130215458
Xuegaogx,1440.9075516827809
yarhuter,67.36955139663982
ZF_lab,2297.5507492037755
zohanlin,1385.505049542413
0xALTF4,898.0566735802988
0xElowen,153.4538030761629
0xjtrade,14.75138980271769
0xwaleedkl,81.41538964467694
2298,525.4121440617656
__traviSKrypto,114.267130305293
Ab89100Muhammad,0.0
AbdulrafiuAminu,1.2457795196227832
ADAMU6422,0.0
Ahn_Couture,9.520713009645592
al_musteyy,0.0
AltcoinAce_X,208.38888521624085
alyonitaa,104.50656423220306
apostlehearty,2.319376750587636
AramAbadi96930,0.0
ausbro80,236.0385040028742
BagCalls,591.1131693888656
Bdigital17,23.32283517034833
beanwiii,0.0
BinanceAjay,0.0
captain_kent,456.99793218824885
CardanoMentor,95.94670182266978
CHUNWON1155,71.86450467126038
Crypto0304,68.02043989902101
crypto_upalupa,124.28133290767974
CryptopheColumb,0.0
CryptoUsopp,1537.5803870981513
deadetol,4.785830297705304
DeFiOracle_,569.4174222347042
Doonbo_artist,242.12133859295983
ElCryptoDoc,358.9252707607976
elhousesol,63.06073355794532
Enok0305,14.938064492897254
evgen_by,813.851334250976
ezeroho8245,792.866724365283
GemBooster,925.7415618270668
hangome_sol,278.9303324373831
hannaXbtc,858.9830269361646
HenriLee92,654.8264283876427
Imamu_Sheka,29.341621527595137
irenenknight32,0.0
jayplayco,1522.4906218842254
jgonzalezferrer,1568.967052040516
JimmyShequ,80.94462258894362
kingfxyo,198.1396832583529
kingjayms_,27.35792929406939
Ledensy,1.9616502740439004
Lexibtceth,746.6248210369632
LilG100x,99.30749013048587
LillyCreator,250.7027377746041
mahsa_tin,28.10076085537037
marcuslayerx,947.535666083752
marshmellowxbt,261.9770523908953
MrPraetorian,72.65009853823346
MusaIbrahi4,0.0
museowunsaram,670.3464185882123
nelsonikenworie,38.373832860844416
NoraXBT,137.83028061990026
Ox_DEMA,16.70278398360477
pelscrypt,1.470092709111978
pika1368,2.2083330048523218
pizza1q2w3e,29.171714667115104
Qu3drix,66.46255321771616
ramztd,256.455653490757
Rasheedisa7,54.19669823381916
Richobahhh,23.177310537376226
RiddlerNFT,1073.3702042557184
riotboy2024,775.1615269408314
s_i_gh,0.0
SammyMzy,268.45814453932906
sarang3372,45.96296940231252
semiko8585,266.1256753492769
sheymilore7,2.25359380794477
Shuarix,343.18861666354223
skathdgus09,5.2871361156760175
sseonu4,54.42579082647633
sukuna_algo,0.0
TheCryptoBlade,418.5450898965381
tikooww,778.2675345570651
tm_uchal,649.1242357445655
TomWeb33,446.0309786089205
Universallbaby,1.7363566323045736
vamshi_9900,21.32756185036224
white_elvi72968,29.798276915199025
ZayanXBT,165.79426991557858
zeetor_z,1.3338766668432174
ZeinLayer,23.48002848220072
0x6851,343.0526921272201
0x_NCS,26.041644628651092
0xberatown,392.2482352429702
0xcarnation,3947.106063213644
0xfarmed,633.7358216002657
0xFent,1371.9994480366845
0xjoekid,113.77816766970544
0xPiracyData,183.37888573097217
0xpurif,59.00180508889527
0xRavenium,292.7876131756491
0xSleepinRain,2241.0533706240417
aibra,2625.902192849077
alexeiZamyatin,977.3220876531012
AltcoinSherpa,9533.589341233524
auguraemali323,77.54576871503932
BQYouTube,1012.6564768558416
bug4what,425.4656220986124
camiinthisthang,1685.4740271702224
Cbb0fe,13394.437071056764
chamadarka,15.798393342111908
chloe95117,195.70258605620063
co_cobling,1084.5298865772895
crypto_scope1,58.77358909994855
CupOJoseph,9654.646138331864
cybttx,180.0998721761583
Dailyairdrop3,178.64769237817595
deepname99,2239.3658440111312
Doflam656,101.6624202661024
Draco__88,247.32147276816545
DRTnky,684.8162199464765
dysonbera,300.32923888337234
El_Mendru,36.18627612452888
ellaqiang9,523.7581977119311
EvaCmore,1727.795782203845
ghrrison,57.29557853058029
hellojintao,3938.034985820456
heytranks,49.39522926419455
iamyourchaos,2298.136516567421
ika_xbt,1814.5763296386488
InLuvWScience,498.5915031481881
JonME76327194,101.08851884496154
justin_bi3bera,185.24917318747305
kimyg002,659.5633318308808
kkoping,2.8631438740798245
knowerofmarkets,1640.5498829478272
kryptomokus,2892.135337016435
lana_del_play,112.1254205380861
lifeisyolo__,238.49432490920933
line_hihei2,80.12658691406361
lordpemby,812.61429576053
MEADGod,816.8941803212457
MeshClans,1091.226955127726
mirionics,583.5501784560436
mr_quora,55.401959777587976
necrymancer,8.506088466549416
nics_off,2683.9085552416727
niz0rg,362.58284974074655
NKontua,37.360911679934766
notaboutdollar,91.798135333618
pgreyy,1002.47674633425
poesdec,123.45320511289474
r2Jamong,2317.057280171409
reisnertobias,4401.435119914291
roffellos,202.64114446151385
rookie_of_Ph,828.508469148329
sayinshallah,4326.494504204171
shudshud26,90.43843125200048
SmokeyTheBera,13634.052521118469
smokypipe_,190.67449511030617
sugabera,388.0909747660784
The_Tradeguru,572.127619331959
thedefivillain,8907.813154094314
ThePaulOla,4.574296376043937
TheSra0ne,55.9001006545875
Vlad_Web3,266.7403624295669
whoiskevin,3702.428634044461
zaijin338191,178.86092709429244
zero_Jpegg,178.57416055146658
0xgilllee,494.5073069222339
0xKevin00,1239.252563832853
0xRainb0y,25.060948504717278
0xweb3wizard,136.16963341033176
0xzSensei,30.367550478316343
2lambro,4103.236940069232
banditxbt,7884.656956194924
BitmanTW,940.4727575125742
bledi_ai,389.885691042952
Boboafrica1,178.8900807028282
BroLeonAus,12726.821225958673
BuTongRen6,1420.8476891998655
CheesyBun0211,257.1341298047994
clzcrypto,292.9266163369891
crypto_Abao,1196.2460575983137
dazzlercoin,408.8110280772979
DebbyNFTs_,20.85945236812028
defikadic,353.7975822109156
DomOnChain,663.4852096081685
DreamBXM,24.90758333234865
DrEinstein9999,450.7125176094865
Edward__Park,4298.773628810077
gomtu_xyz,916.881362377674
hackapreneur,1385.4732086227684
IamAqsaShaikh,368.1376429884119
IPALAU1,564.0345558036358
itskkoma,1377.6917209924352
Jampzey,3817.904457065464
jeg6322,1058.7031473426227
jonBeoGazua,142.3823478298914
katexbt,8988.49359021352
liuxiaoling933,551.9342622693111
M_zekks,276.6008010342297
marvellousdefi_,668.0366039576427
metaio102,1931.4446978675403
MetaverseRanger,932.0304938770493
Mikesi30,2496.1869428179016
momochenming,2092.222578230883
MookieNFT,911.7865272369996
MrLudlow_,34.3115981252615
NDIDI_GRAM,2037.4531887084995
Nick_Researcher,863.4288584075013
niravmurthy,281.8555329939301
ok1mraise,10.34121443355419
Predatorweb3,25.807346757066107
QIEG_Max,29.66943777206462
Queenxrypt,170.66708957869596
ripchillpill,3874.076705802093
SamuelXeus,918.4779314959404
sinceOctober8,25.066150650664092
SkylineETH,2045.151752272068
Slappjakke,4408.25557989031
softlipa1018,1476.347951884793
splinter0n,3867.608984391152
TedPillows,6967.9539435463485
the_smart_ape,4090.0331546387774
TheCyclotron,46.57503516876837
TimHaldorsson,9510.628245064436
Tma_420,2708.1114530299183
UzoamakaSamuel_,47.69805310862868
wenxue600,3033.061700920131
xiaoman1188,299.02941988686405
xiaoyubtc,947.7319154875056
xingxingjun8888,1656.5033077141643
y_cryptoanalyst,3515.9314570568245
yihan0202,636.1894202556712
yueya_eth,4954.547068423553
ZKSgu,5007.676192571087
0xkydo,5342.143054938703
0xnobi,3407.4383050327547
_Enoch,3277.3716367431543
_FORAB,10703.802927785558
AdrianoFeria,3092.6139317431807
apoorveth,3143.04071426325
austingriffith,2525.544684608815
binji_x,17559.053316870348
blknoiz06,44388.49338608696
CloutedMind,6256.593661147466
CryptoGucci,1667.2901399462442
CryptoPoseidonn,2366.781631247288
dabit3,12097.938399373588
DavideCrapis,2012.8516794921568
DeFi_Dad,11974.361760865158
DefiIgnas,25589.29946998531
divine_economy,18984.232032859225
drakefjustin,4947.904728501574
drjasper_eth,5610.472997666047
ec265,2093.7527290183166
econoar,7709.312470070097
eli_schein,3008.0313315521366
fabdarice,5618.128997679578
fede_intern,14970.913370687907
FigoETH,4596.158615072795
francescoswiss,3230.158687230426
gdog97_,10320.756305682922
gluk64,3456.60321073145
Haezurath,498.5617213677422
hasufl,10412.724316430824
honey_xbt,2642.9053155201227
hubkotl,4174.691061335305
JasonYanowitz,16282.520710632742
jchaskin22,5976.861656968807
Jrag0x,7806.972194050236
KhanAbbas201,7059.864940142929
Kira_sama,1517.0441145892344
koeppelmann,3400.8637132653103
l3olanza,3211.7792740758537
LefterisJP,3629.3060394062186
LeonWaidmann,1256.2441222125778
lex_node,22763.60069772641
litocoen,9374.536865598831
materkel,3631.2736522632777
matthew_sigel,7658.513734146674
mlmabc,11955.581231973623
mteamisloading,13094.534658309807
NateGeraci,8493.678736052014
NTmoney,10653.66227922393
osf_rekt,9941.73736937761
Pentosh1,5491.721497563383
post_polar_,5001.261931099947
protolambda,1078.232785337485
pumatheuma,5751.399300177047
punk9059,8463.643468934139
QuintenFrancois,5553.834790423585
RyanWatkins_,9194.826708023686
sassal0x,23124.5952822969
scottmelker,10976.274220918418
sjdedic,15851.691785601572
superphiz,1090.996896137603
TheDevanshMehta,1590.5967473732237
TimBeiko,4065.7889456594335
Tradermayne,10253.558552593458
TrustlessState,12409.86180573784
Tyler_Did_It,17478.69602649591
ViktorBunin,6317.80663279453
VitalikButerin,16399.19728841932
waleswoosh,23843.291287266213
wslyvh,1195.0390196024584
Xeer,10260.320820011822
z0r0zzz,4649.21956052301
zGuz,2600.9721691816803
0xBrans,156.47086403878637
0xCabana,20.498363237730132
0xSalazar,809.958081390211
agentcookiefun,988.14070267345
AirdropGlideapp,786.6412698064315
AltamashK_inj,11.74933196997836
AltCryptoGems,1500.292012646462
BitImmortal,229.0278299255357
bmw67_PRMR,29.03288734318002
BrianneFrey,73.49992165664287
Ciciyingying,146.7235019664822
congge918,281.23932094335703
Crypto_Scient,360.468712346606
CryptoB_K,65.69247181467972
CryptoBusy,582.9273145885514
CryptoChem0000,96.8328924010176
CryptoCurb,5815.618110102543
CryptoL1s,35.373612768097544
CryptoPatel,165.9473478767433
DaengDaeng_eth,356.91937868214904
DamiDefi,210.73195669442015
De_BlackAngel_,109.52346476058489
dilrong_,214.57535301480965
ericinjective,39.98174842639679
EtanBoss,949.415069840136
FurkanConsensus,25.26874382472059
GpaAndy,342.40483618124614
Hisu0x,122.86372370709226
Hope_web3_,324.02800352235806
HOSS_ibc,1538.2710607082429
huseyin1tekin,792.0518567625143
illustriousPRMR,70.922774686745
Inj_pumping,9.197938653545853
injective_ninja,0.0
injmaxxing,5.2903443932322975
InjPedro,0.0
jakeyPRMR,211.0799043604273
JohnNakamoto_,88.56721016099179
JoshuaAbel68,65.95853065975064
KongBTC,966.5820008178882
kylobtc,179.62374236980338
LegacyMTM,12.282865538087885
lucianlampdefi,677.7160725229253
MachiyaNFT,0.0
Maeezyyy,0.0
martinezzart,431.7443503225443
Mary_Inj,0.0
Matt_Peters92,991.5855772323906
MDCryptoWorld,25.009163995043508
Mdsaif33,125.30410964429346
mirza,461.5387426636479
MisterLoops,144.78967373527885
nocoffeenobrain,337.57931588092583
NomberFax,2.638442377749058
PandaAsiaStreet,625.0138114617313
ProofOfTravis,2442.068878240855
quilix_vu,661.5419888574584
RangerFinance_,3.2518096610081537
realpeterjm,1563.0935672486896
